,max_acc_re_raw,std_acc_re_raw,var_acc_re_raw,iqr_acc_re_raw,mad_acc_re_raw,max_acc_re_jerk,min_acc_re_jerk,range_acc_re_jerk,std_acc_re_jerk,var_acc_re_jerk,mad_acc_re_jerk,max_gyro_re_raw,std_gyro_re_raw,var_gyro_re_raw,iqr_gyro_re_raw,mad_gyro_re_raw,max_gyro_re_jerk,min_gyro_re_jerk,range_gyro_re_jerk,std_gyro_re_jerk,var_gyro_re_jerk,mad_gyro_re_jerk,fall_adl_bin,person_id
544,18.065005794076015,0.28975018574783745,0.08395517014090631,0.1815420407594921,0.09548152731838044,0.4212716815540283,-0.7146809605703872,1.1359526421244155,0.1549304353493238,0.024003439797530998,0.08472817705244395,0.25507028443156604,0.057887645955542535,0.00335097955427424,0.09565143977322632,0.024715535116126404,0.06654223566451259,-0.09823597696027328,0.16477821262478587,0.018698687780396208,0.0003496409247087385,0.004812766315509809,-1,P06
546,17.940409111555955,0.7845807628625772,0.6155669734540236,1.0952544589450142,0.5438713746680861,0.8117663201144651,-0.5055551535573599,1.317321473671825,0.18538469854761103,0.03436748645558862,0.11592112367288543,1.660788863763242,0.3757666890945436,0.14120060463307538,0.7111593953790778,0.3119088585167351,0.5244133593328573,-0.10145230086587143,0.6258656601987287,0.060823774683412685,0.0036995315667385535,0.0167842612976159,-1,P06
548,18.71496837160031,0.6241112191551548,0.38951481387533365,0.7711888438964358,0.3128851654255502,0.9455975530601073,-1.8935929001948892,2.8391904532549965,0.35225242266557966,0.12408176927377018,0.17804051911141627,1.4467068707931126,0.3714682160601132,0.13798863554288293,0.7023815517481551,0.3385804997806506,0.15059886843636267,-0.1521531670614773,0.30275203549783997,0.05393478728434472,0.0029089612794075126,0.022080248766057187,-1,P06
557,16.171605967868498,2.0521406789588603,4.211281366237733,1.7134274220980128,0.9025045909557976,2.7472501086583634,-3.763616350357095,6.510866459015459,0.7842889032644433,0.6151090837837433,0.20977580187251554,1.3505148869968076,0.256634830334595,0.06586143614086636,0.22175310769113932,0.11067897084897854,0.2989832391145839,-0.32263177005000754,0.6216150091645914,0.07762337178516168,0.006025387847297435,0.02950834919888401,-1,P06
573,18.09554303440491,3.1452282341080657,9.892460644630543,2.4180223310313984,1.1494153015982125,4.388587519911012,-4.046366665891997,8.434954185803008,1.2368905153353589,1.5298981469265698,0.2624776191584659,1.499262415322948,0.3691085823051317,0.13624114553130418,0.6582583599805667,0.233916037806095,0.33188543457357794,-0.38554662633517167,0.7174320609087497,0.09702333249936215,0.009413527049281785,0.044931205446966216,-1,P06
582,13.667091193812968,1.577256460237543,2.487737941361064,2.3224969588216204,1.1715674822981503,1.7667360565797114,-2.2029597439571305,3.969695800536842,0.6446605796218823,0.41558726291842124,0.18588834544634913,1.0644413981051282,0.20635532525100467,0.04258252025944793,0.17818041147123787,0.08832611437195281,0.2267845810393967,-0.17604298569993315,0.40282756673932985,0.05620540910890885,0.0031590480130998144,0.027987150751577566,-1,P06
601,16.15796064514331,2.220784160082849,4.9318822856748845,2.3041331747663705,1.104365709487574,2.8542336831062,-3.3261040725238082,6.180337755630008,0.8036311278361764,0.6458229896272448,0.22814145459870838,1.1240176066236685,0.22352235146920782,0.04996224160632407,0.3102567976656301,0.1275864284478192,0.22266266373272423,-0.28534460685035523,0.5080072705830795,0.0662781973174599,0.004392799439652149,0.024510034308955528,-1,P06
605,17.40387781070644,2.157732771795581,4.6558107144806415,2.4300817484818085,1.3191674980716588,3.2446890893515103,-4.150970782862085,7.395659872213596,0.8544105056740291,0.7300173122061502,0.21115857197059107,1.3254954319046142,0.33648403638507296,0.11322150674199112,0.5709581331658374,0.12619769429418964,0.1327068166605727,-0.3651606810506531,0.4978674977112258,0.05664722704741437,0.0032089083321613144,0.019466364480264342,-1,P06
608,11.754249114681889,1.0922471758044414,1.1930038930527784,1.469290649391902,0.4759330644805537,1.4079869248803814,-3.47002580286804,4.8780127277484215,0.5500068721004344,0.3025075593577037,0.1893323860970746,1.2147126656127365,0.23812035099889903,0.05670130155983887,0.2627064091540904,0.10428355667272193,0.19865710310659146,-0.3102162503391697,0.5088733534457612,0.08927203807733813,0.00796949678248171,0.033664099535350364,-1,P06
609,14.17905154232821,1.6417918806078955,2.6954805792300105,2.1208992902470527,1.0139701892431905,2.680405218650514,-2.0108710390392233,4.691276257689737,0.6630796778350697,0.4396746591578599,0.19692153441221816,1.3199491429596824,0.2717680410972959,0.07385786816186153,0.37895381617469315,0.16190645797903674,0.3287479473886308,-0.2604490163431852,0.589196963731816,0.0748713455084747,0.0056057183782493945,0.01695095067956376,-1,P06
